nem	nev	evfolyam	oszatly	szak
L	Mátrai Georgina	2005	B	Vasútüzemgépész
L	Rakóczki Maurícia	2004	A	Gépjármûvillamossági szerelõ
F	Roklicz Odisszeusz	2005	A	Jármûlakatos
L	Asztalos Viola	2004	C	Gépjármûvillamossági szerelõ
L	Schiffer Mercédesz	2005	A	Jármûlakatos
F	Kupti Nikodémusz	2005	B	Jármûlakatos
F	Pámer Dalton	2006	A	Kötöttpályás szerelõ
L	Pala Eleonóra	2004	C	Vasútüzemgépész
L	Felházi Margó	2005	C	Vasútüzemgépész
F	Ferenc Borisz	2005	B	Vasútüzemgépész
F	Turai Tóbiás	2004	A	Kötöttpályás szerelõ
F	Borbély Lukács	2004	B	Vasútüzemgépész
L	Makranczi Karolina	2006	C	Kötöttpályás szerelõ
L	Virecskó Felícia	2006	C	Jármûlakatos
L	Teper Boriska	2005	B	Vasútüzemgépész
F	Petró Fortunát	2006	C	Gépjármûvillamossági szerelõ
F	Kõmíves Katapán	2005	B	Gépjármûvillamossági szerelõ
L	Azari Rozalinda	2006	C	Jármûlakatos
L	Jermega Verbéna	2006	B	Gépjármûvillamossági szerelõ
F	Berniczki Donald	2004	C	Vasútüzemgépész
L	Zarkovics Eliána	2006	C	Gépjármûvillamossági szerelõ
L	Felházi Szandra	2004	A	Gépjármûvillamossági szerelõ
F	Csekei Bátor	2004	B	Gépjármûvillamossági szerelõ
L	Bela Dezideráta	2004	C	Vasútüzemgépész
F	Najdusonka Boáz	2005	A	Jármûlakatos
L	Ugocsányi Hilda	2004	C	Vasútüzemgépész
L	Pozsonyi Barbara	2004	A	Gépjármûvillamossági szerelõ
F	Tolcsvai Gyõzõ	2004	A	Gépjármûvillamossági szerelõ
L	Marjanszki Polett	2005	C	Kötöttpályás szerelõ
L	Földi Amarilla	2005	A	Jármûlakatos
L	Palovtsik Cipriána	2004	A	Gépjármûvillamossági szerelõ
L	Bencze Barbara	2006	C	Vasútüzemgépész
F	Ernest Attila	2005	B	Kötöttpályás szerelõ
L	Sajgó Demetria	2004	B	Kötöttpályás szerelõ
F	Sonuti Edizon	2004	B	Gépjármûvillamossági szerelõ
